Optimizer|Learning Rate|Metric|Epochs|Batch Size|Accuracy|F1_Score|Time
<keras.optimizer_v2.adam.Adam object at 0x7f14e4c7dc50>|0.0001|accuracy|50|16|0.9252873563218391|0.9252256123764504|695.9401962757111
<keras.optimizer_v2.adam.Adam object at 0x7f14e58f2290>|1e-06|accuracy|50|16|0.9080459770114943|0.9079973562458691|705.5453646183014
<keras.optimizer_v2.adam.Adam object at 0x7f13d751b1d0>|1e-05|accuracy|50|16|0.9080459770114943|0.9079973562458691|693.2895121574402
<keras.optimizer_v2.adam.Adam object at 0x7f126f0e6350>|1e-06|accuracy|50|64|0.9022988505747126|0.9022697987907622|641.5990447998047
<keras.optimizer_v2.adam.Adam object at 0x7f14e0856ad0>|1e-05|accuracy|50|64|0.9022988505747126|0.9022697987907622|637.2590682506561
<keras.optimizer_v2.adam.Adam object at 0x7f167016f550>|0.0001|accuracy|50|64|0.8793103448275862|0.8792744573297651|632.7373526096344
