Optimizer|Learning Rate|Metric|Epochs|Batch Size|Accuracy|F1_Score|Time
<keras.optimizer_v2.adam.Adam object at 0x7f0fd5b52210>|0.0001|accuracy|100|64|0.9137931034482759|0.9137902559867879|298.68412566185
<keras.optimizer_v2.adam.Adam object at 0x7f0fd6a9e7d0>|0.0001|accuracy|50|64|0.9080459770114943|0.9080338266384779|156.19831442832947
<keras.optimizer_v2.adam.Adam object at 0x7f0f2ee70950>|0.001|accuracy|100|16|0.9080459770114943|0.9080338266384778|348.0408248901367
<keras.optimizer_v2.adam.Adam object at 0x7f0f1e8776d0>|0.001|accuracy|50|64|0.9080459770114943|0.9079973562458691|154.52447843551636
<keras.optimizer_v2.adam.Adam object at 0x7f0fe1defe90>|0.0001|accuracy|50|16|0.9022988505747126|0.9022956234516928|180.1422848701477
<keras.optimizer_v2.adam.Adam object at 0x7f0f283f1fd0>|0.001|accuracy|50|32|0.9022988505747126|0.9020367610531546|167.93345475196838
<keras.optimizer_v2.adam.Adam object at 0x7f0fdb7c6190>|0.0001|accuracy|100|16|0.8908045977011494|0.8908009909165979|352.66477394104004
<keras.optimizer_v2.adam.Adam object at 0x7f110ab9c590>|0.0001|accuracy|50|32|0.8850574712643678|0.8849206349206349|168.84109330177307
<keras.optimizer_v2.adam.Adam object at 0x7f0f2c180910>|0.001|accuracy|10|32|0.867816091954023|0.8670741023682199|41.71444272994995
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f11f65250>|0.001|accuracy|100|16|0.8620689655172413|0.8619047619047618|347.64434695243835
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f0858bf10>|0.001|accuracy|100|32|0.8620689655172413|0.8619047619047618|324.0584533214569
<keras.optimizer_v2.adam.Adam object at 0x7f0fe56e7390>|0.0001|accuracy|100|32|0.8620689655172413|0.861776777439428|325.54167199134827
<keras.optimizer_v2.adam.Adam object at 0x7f0f252aecd0>|0.001|accuracy|100|32|0.8620689655172413|0.8614097968936679|328.1581361293793
<keras.optimizer_v2.adam.Adam object at 0x7f0f1e8d6150>|0.001|accuracy|100|64|0.8505747126436781|0.8505549682875264|299.6446554660797
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f0860b750>|0.001|accuracy|100|64|0.8505747126436781|0.8503968253968255|298.7055287361145
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f0244bf50>|0.001|accuracy|50|64|0.8448275862068966|0.8446993487818585|154.32320618629456
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f1501e650>|0.001|accuracy|50|16|0.8448275862068966|0.8445760412875906|178.90426969528198
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f0bb64a50>|0.001|accuracy|50|32|0.8448275862068966|0.8445760412875906|167.36423468589783
<keras.optimizer_v2.adam.Adam object at 0x7f0fe40796d0>|0.0001|accuracy|10|16|0.8448275862068966|0.8445760412875906|44.30253529548645
<keras.optimizer_v2.adam.Adam object at 0x7f0fe2e6bad0>|0.0001|accuracy|10|64|0.8448275862068966|0.8442049411374564|41.79505753517151
<keras.optimizer_v2.adam.Adam object at 0x7f0f31f7b750>|0.001|accuracy|50|16|0.8390804597701149|0.8390591966173362|179.47599625587463
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f18c812d0>|0.001|accuracy|10|16|0.8390804597701149|0.8388888888888889|43.95834016799927
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f4bd21bd0>|0.0001|accuracy|100|16|0.8390804597701149|0.8387395736793327|348.18626070022583
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f4eb02090>|0.0001|accuracy|50|16|0.8390804597701149|0.8387395736793327|180.62447834014893
<keras.optimizer_v2.adam.Adam object at 0x7f1069129850>|0.0001|accuracy|10|32|0.8390804597701149|0.8380319148936171|42.054540157318115
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f4246acd0>|0.0001|accuracy|100|32|0.8333333333333334|0.8330631554570418|324.5540678501129
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f3b7364d0>|0.0001|accuracy|100|64|0.8333333333333334|0.8328862394436164|298.8173267841339
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f45080190>|0.0001|accuracy|50|32|0.8333333333333334|0.8328862394436164|168.61995697021484
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f0f5e42d0>|0.001|accuracy|10|32|0.8333333333333334|0.8328862394436164|44.19390296936035
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f057ce810>|0.001|accuracy|10|64|0.8275862068965517|0.827220971799285|38.94479322433472
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f3ba48c50>|0.0001|accuracy|50|64|0.8275862068965517|0.8270148462354189|154.7046959400177
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0fd2039690>|0.0001|accuracy|10|16|0.8275862068965517|0.8270148462354189|44.04344201087952
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f4274ded0>|0.0001|accuracy|10|64|0.8275862068965517|0.8270148462354189|38.905051469802856
<keras.optimizer_v2.gradient_descent.SGD object at 0x7f0f482b9590>|0.0001|accuracy|10|32|0.8218390804597702|0.8211241916763389|41.76558566093445
<keras.optimizer_v2.adam.Adam object at 0x7f0f25359890>|0.001|accuracy|10|64|0.8045977011494253|0.8024839743589742|39.07731366157532
<keras.optimizer_v2.adam.Adam object at 0x7f0f38b6cc50>|0.001|accuracy|10|16|0.7528735632183908|0.7467763224692862|45.860655069351196
